# FractureId; NumTraces
0; 7
# TraceId; Tips; Length
0; 0; 6.7471443493720984e-01
6; 0; 6.0955246724863787e-01
5; 0; 4.8118971767339042e-01
3; 0; 3.9439852449745560e-01
1; 1; 4.2680143969791606e-01
4; 1; 4.2160911792667899e-01
2; 1; 1.4605310396686302e-01
# FractureId; NumTraces
1; 29
# TraceId; Tips; Length
25; 0; 9.0393217642189105e-01
28; 0; 6.2866540477648336e-01
17; 0; 3.8492992607914395e-01
19; 0; 3.0318395293005934e-01
34; 0; 2.9093410816150700e-01
14; 0; 1.5575395183890214e-01
23; 0; 1.4004828748305026e-01
9; 1; 9.3741389718636903e-01
29; 1; 9.3360668860935203e-01
32; 1; 9.2452310713592956e-01
26; 1; 8.8368803295815779e-01
30; 1; 8.0266857324260243e-01
7; 1; 6.9334901823859396e-01
31; 1; 6.7416314645497488e-01
20; 1; 6.2264135513783769e-01
15; 1; 5.0797391303725314e-01
16; 1; 4.6385210114130859e-01
12; 1; 4.1882175187814558e-01
11; 1; 3.6286845226982550e-01
10; 1; 3.6084402598645332e-01
35; 1; 3.3268441455391096e-01
22; 1; 2.7949254124386491e-01
8; 1; 2.5690210536291463e-01
24; 1; 2.1802353766625018e-01
27; 1; 1.4498749477242082e-01
33; 1; 1.3793889888406133e-01
18; 1; 1.2447664614277315e-01
21; 1; 3.2205721229196821e-02
13; 1; 1.1440457748453384e-02
# FractureId; NumTraces
2; 6
# TraceId; Tips; Length
0; 0; 6.7471443493720984e-01
37; 0; 1.7440624831934917e-01
36; 1; 6.9672839998550407e-01
38; 1; 5.2300954394792054e-01
39; 1; 4.6934874617055466e-01
40; 1; 3.7954758490435375e-01
# FractureId; NumTraces
3; 29
# TraceId; Tips; Length
66; 0; 6.5944790181641166e-01
57; 0; 6.4832288190895959e-01
64; 0; 6.3129751615244645e-01
53; 0; 6.3045861598887976e-01
45; 0; 5.7390811464565505e-01
48; 0; 3.2597142212739499e-01
59; 0; 2.4769903947436192e-01
44; 0; 1.8996706192210258e-01
41; 0; 1.7285713851104545e-01
7; 1; 6.9334901823859396e-01
52; 1; 6.4841762967191341e-01
65; 1; 6.2336405286413044e-01
58; 1; 5.9895445080443543e-01
62; 1; 5.7553208173634163e-01
42; 1; 5.3982200587684581e-01
43; 1; 5.0269084482302506e-01
67; 1; 4.8786620638736838e-01
50; 1; 3.6637188742059529e-01
60; 1; 3.5306434734383679e-01
47; 1; 3.1618758581756456e-01
56; 1; 3.1062652326103463e-01
54; 1; 3.0678991271705097e-01
63; 1; 2.9816793324690599e-01
61; 1; 2.8873677541999332e-01
51; 1; 2.8604972919225713e-01
46; 1; 2.1108417996010384e-01
49; 1; 2.0628574193534774e-01
55; 1; 1.1323699097574415e-01
68; 1; 2.5581278438586992e-02
# FractureId; NumTraces
4; 23
# TraceId; Tips; Length
81; 0; 8.7741980933355057e-01
76; 0; 1.4828813920453837e-01
70; 0; 5.1344459412477908e-02
86; 1; 8.9560207437027972e-01
89; 1; 7.0160779672323104e-01
82; 1; 6.5083394501698943e-01
80; 1; 6.3069832728828168e-01
